winery,wine,year,rating,num_review,region,price,type,grapes
Canyelles I Batle,Pecat 2016,2016,"4,2",69,España / Islas Baleares / Mallorca,"37,07",Vino tinto,"Shiraz/Syrah, Cabernet Sauvignon, Merlot"
Cune (CVNE),Crianza 2018,2018,"3,6",4264,España / Rioja,"6,55",Vino tinto,"Tempranillo, Mazuelo"
Bodegas Ateca,Atteca Armas Garnacha Old Vines 2018,2018,"4,2",83,España / Aragón / Calatayud,"31,75",Vino tinto,100 % de Garnacha
Vol I Dol,Tinto 2019,2019,"3,4",32,España / Cataluña,"5,45",Vino tinto,Cabernet Sauvignon
Codorníu,Impulso Crianza 2017,2017,"3,2",111,España / Rioja,"5,95",Vino tinto,"Grenache, Tempranillo"
Protos,Verdejo 2019,2019,"3,8",2024,España / Castilla y León / Rueda,"6,99",Vino blanco,100 % de Verdejo
Ceremonia,Reserva Limited Edition 2013,2013,"3,4",44,España / Valencia / Utiel-Requena,"7,50",Vino tinto,"60 % de Tempranillo, 30 % de Cabernet Sauvignon, 10 % de Bobal"
Legaris,Ribera del Duero Roble 2020,2020,"3,7",486,España / Castilla y León / Ribera del Duero,"6,95",Vino tinto,100 % de Tempranillo
Cepa 21,Hito Rosado 2018,2018,"3,7",168,España / Castilla y León / Ribera del Duero,"8,75",Vino rosado,100 % de Tempranillo
Adega Familiar Eladio Piñeiro,Envidiacochina (Tête de Cuvée) 2019,2019,"4,2",474,España / Galicia / Rías Baixas,"18,46",Vino blanco,100 % de Albariño
Viñas del Vero,Gewürztraminer Somontano 2019,2019,"4,1",1223,España / Aragón / Somontano,12,Vino blanco,100 % de Gewürztraminer
Luberri,Orlegi de Luberri Cosecha 2021,2021,"3,8",40,España / Rioja,"6,95",Vino tinto,100 % de Tempranillo
Legón,Ribera del Duero Crianza 2018,2018,"4,1",406,España / Castilla y León / Ribera del Duero,19,Vino tinto,Tempranillo
Terroir Sense Fronteres,Vèrtebra Montsant 2019,2019,"4,1",99,España / Cataluña / Tarragona / Montsant,"30,90",Vino tinto,100 % de Garnacha
Habla,Habla de Ti Sauvignon Blanc 2019,2019,"3,8",374,España / Extremadura,"9,50",Vino blanco,100 % de Sauvignon Blanc
Vinos del Paseante,La Duda Godello 2021,2021,"3,8",48,España / Galicia / Monterrei,"10,95",Vinos del Paseante,100 % de Godello
Vizcarra,Ribera del Duero Senda del Oro 2011,2011,"3,7",613,España / Castilla y León / Ribera del Duero,"8,95",Vino tinto,Tempranillo
Teso La Monja,Victorino 2018,2018,"4,3",364,España / Castilla y León / Toro,"35,51",Vino tinto,100 % de Tinta de toro
Barbadillo,Nave Trinidad Manzanilla en Rama N.V.,3006,"3,8",189,España / Andalucía / Jerez-Xérès-Sherry / Manzanilla,"12,95",Vino fortificado,100 % de Palomino
Beronia,Rueda Verdejo 2020,2020,"3,7",387,España / Castilla y León / Rueda,"6,90",Vino blanco,100 % de Verdejo
Solar de Samaniego,Gran Reserva 2006,2006,"3,8",33,España / Rioja,18,Vino tinto,"Garnacha, Tempranillo"
Descendientes de J. Palacios,Villa de Corullón Bierzo 2018,2018,"4,1",421,España / Castilla y León / Bierzo,"39,90",Vino tinto,100 % de Mencia
Vall Llach,Porrera Vi de Vila 2018,2018,"4,3",63,España / Cataluña / Priorato,"50,85",Vino tinto,"77 % de Cariñena, 23 % de Garnacha"
Arzuaga,Ribera del Duero Rosae 2019,2019,"3,9",137,España / Castilla y León / Ribera del Duero,"10,70",Vino rosado,100 % de Tempranillo
Mas Foraster,Josep Foraster Criança 2017,2017,"3,6",56,España / Cataluña / Conca de Barberà,"10,35",Vino tinto,"Shiraz/Syrah, Tempranillo, Cabernet Sauvignon"
Bodegas Ponce,La Xara Garnacha 2018,2018,"3,5",186,España / Castilla / Manchuela,"7,74",Vino tinto,100 % de Bobal
Ca N'Estruc,L'Equilibrista Garnatxa 2016,2016,"4,0",71,España / Cataluña,"24,90",Vino tinto,100 % de Shiraz/Syrah
Dominio de Tares,La Sonrisa de Tares Godello Bierzo 2021,2021,"3,7",29,España / Castilla y León / Bierzo,"7,95",Vino blanco,100 % de Godello
