winery,wine,year,rating,num_review,region,price,type,grapes
Yllera,9 Meses en Barrica Roble Tempranillo 2018,2018,"3,7",109,España / Castilla y León / Ribera del Duero,"4,50",Vino tinto,Tempranillo
Zifar,Senda de los Olivos Crianza (Vendimia Seleccionada) 2014,2014,"3,8",287,España / Castilla y León / Ribera del Duero,"13,25",Vino tinto,Tempranillo
R. López de Heredia,Gran Reserva Rosado 2010,2010,"4,4",633,España / Rioja / Rioja Alta,149,Vino rosado,"60 % de Garnacha, 30 % de Tempranillo, 10 % de Viura"
Vega Sicilia,Valbuena 5º 2015,2015,"4,7",3107,España / Castilla y León / Ribera del Duero,"295,92",Vino tinto,100 % de Tempranillo
Canopy,La Viña Escondida 2016,2016,"4,0",36,España / Castilla / Méntrida,"33,50",Vino tinto,100 % de Garnacha
Finca Los Aljibes,Viña Aljibes Red Blend 2016,2016,"3,4",107,España / Castilla,"6,50",Vino tinto,"Shiraz/Syrah, Tempranillo"
Tarsus,Ribera del Duero Reserva 2015,2015,"3,9",192,España / Castilla y León / Ribera del Duero,"20,26",Vino tinto,"Cabernet Sauvignon, Tinta del Pais"
Cercavins,Bru de Verdú 2014,2014,"3,7",212,España / Cataluña / Costers del Segre,"9,45",Vino tinto,100 % de Shiraz/Syrah
Bodegueros Quinta Esencia,Sofros 2011,2011,"3,9",95,España / Castilla y León / Toro,"15,45",Vino tinto,Tempranillo
Solà Classic,1777 Bleu 2015,2015,"4,2",34,España / Cataluña / Priorato,"12,80",Vino tinto,"Grenache, Samsó"
Chivite,Navarra Coleccion 125 Rosado 2019,2019,"4,2",26,España / Navarra,"23,15",Vino rosado,"56 % de Garnacha, 44 % de Tempranillo"
Diez Siglos,Verdejo 2020,2020,"3,8",127,España / Castilla y León / Rueda,7,Vino blanco,100 % de Verdejo
Finca Albret,La Loma Garnacha 2019,2019,"3,9",50,España / Navarra,"7,95",Vino tinto,Garnacha
Bertha,Cava S.XXI Gran Reserva Brut Nature 2007,2007,"4,2",63,España / Cava,"23,30",Vino espumoso,Macabeo
Dominio de Eguren,Códice 2017,2017,"3,5",261,España / Castilla y León,"5,55",Vino tinto,100 % de Tempranillo
Pago de Los Capellanes,Joven Roble Tinto 2019,2019,"4,1",3874,España / Castilla y León / Ribera del Duero,18,Vino tinto,100 % de Tempranillo
Villota,Tinto 2019,2019,"4,0",39,España / Rioja / Rioja Alavesa,"17,90",Vino tinto,"Tempranillo, Graciano, Garnacha"
Jean Leon,Vinya Le Havre Reserva Cabernet Sauvignon 2017,2017,"4,1",41,España / Cataluña / Penedès,"20,90",Vino tinto,"Cabernet Sauvignon, Cabernet Franc"
Blancher,Cava de la Tieta Gran Reserva Brut Nature 2010,2010,"3,8",25,España / Cava,"18,90",Vino espumoso,"Macabeo, Xarel-lo, Parellada"
Barahonda,Heredad Candela Monastrell 2016,2016,"3,9",286,España / Murcia / Yecla,"14,90",Vino tinto,100 % de Monastrell
Contino,Reserva 2015,2015,"4,1",438,España / Rioja,"24,94",Vino tinto,100 % de Tempranillo
Samsara,Ronda 2015,2015,"4,2",28,España / Andalucía / Sierras de Málaga,"32,50",Vino tinto,100 % de Petit Verdot
Costers del Sió,Les Creus 2014,2014,"3,6",62,España / Cataluña / Costers del Segre,"10,95",Vino tinto,"Tempranillo, Grenache"
Roig Parals,La Botera 2018,2018,"3,7",90,España / Cataluña / Empordà,"10,43",Vino tinto,"Carignan, Samsó, Grenache"
Enric Soler,Impro-Visació Vinyes de Xarel-lo 2018,2018,"3,9",82,España / Cataluña / Penedès,"25,66",Vino blanco,100 % de Xarel-lo
Ca N'Estruc,Idoia Blanc 2018,2018,"3,9",173,España / Cataluña,"10,50",Vino blanco,"Garnacha Blanca, Xarel-lo"
Familia Torres,Fransola 2018,2018,"3,9",286,España / Cataluña / Penedès,"25,90",Vino blanco,100 % de Sauvignon Blanc
Bodegas El Paraguas,La Sombrilla 2016,2016,"4,1",62,España / Galicia / Ribeiro,"34,50",Vino blanco,"Godello, Albariño, Treixadura"
Baronia,Com Gat i Gos Red 2020,2020,"3,4",25,España / Cataluña / Tarragona / Montsant,"5,50",Vino tinto,Garnacha
Giró Ribot,Aikarai Muscat 2016,2016,"3,6",54,España / Cataluña / Penedès,"7,32",Vino blanco,Muscat Blanc
Arid,Eòlic Sauvignon Blanc 2016,2016,"4,3",38,España / Cataluña / Penedès,"14,75",Vino blanco,Sauvignon Blanc
Shaya,Habis 2018,2018,"4,2",91,España / Castilla y León / Rueda,"21,50",Vino blanco,100 % de Verdejo
Terroir Al Límit Soc. Lda,Les Tosses 2014,2014,"4,4",116,España / Cataluña / Priorato,210,Vino tinto,100 % de Carignan
Fos,Fos Baranda 2017,2017,"4,2",106,España / Rioja,"29,90",Vino tinto,100 % de Tempranillo
Bodega Otazu,Otazu Chardonnay 2021,2021,"3,7",72,España / Navarra / Otazu,"9,27",Vino blanco,100 % de Chardonnay
El Regajal,Selección Especial 2019,2019,"3,8",161,España / Madrid,"15,40",Vino tinto,100 % de Tempranillo
David Moreno,Vobiscum 2015,2015,"4,4",30,España / Rioja,"31,99",Vino tinto,"90 % de Tempranillo, 10 % de Garnacha"
Protos,Crianza 2017,2017,"4,0",1093,España / Castilla y León / Ribera del Duero,16,Vino tinto,100 % de Tinta del Pais
Sedella,Laderas de Sedella Red Blend 2017,2017,"3,6",28,España / Andalucía / Sierras de Málaga,"15,50",Vino tinto,100 % de Garnacha
Txomin Etxaniz,Txakoli Getariako Txakolina 2021,2021,"4,0",296,España / País Vasco / Getariako Txakolina,"8,41",Vino blanco,Hondarrabi Zuri
Vinyes Domenech,Teixar 2017,2017,"4,5",27,España / Cataluña / Tarragona / Montsant,"49,08",Vino tinto,Garnacha Peluda
Bodegas Ochoa,Reserva Navarra 2009,2009,"3,8",305,España / Navarra,"11,90",Vino tinto,"Cabernet Sauvignon, Merlot, Tempranillo"
Bodegas Valdemar,Inspiración Maturana 2008,2008,"4,0",77,España / Rioja,"30,90",Vino tinto,Maturana Tinta
Vetus,Flor de Vetus 2011,2011,"3,6",488,España / Castilla y León / Toro,"8,39",Vino tinto,100 % de Tempranillo
Terra.00,Chenin Blanc 2018,2018,"4,0",34,España / Cataluña / Tarragona,"13,25",Vino blanco,Chenin Blanc
Particular,Garnacha Old Vine 2016,2016,"3,6",144,España / Aragón / Cariñena,"5,90",Vino tinto,100 % de Garnacha
Pata Negra,Valdepeñas Roble 2018,2018,"3,3",97,España / Castilla / Valdepeñas,"4,95",Vino tinto,100 % de Tempranillo
Alfredo Arribas,Trossos Vells 2015,2015,"4,0",84,España / Cataluña / Tarragona / Montsant,"18,40",Vino tinto,100 % de Carignan
Joan d'Anguera,Finca l'Argatà 2018,2018,"3,9",48,España / Cataluña / Tarragona / Montsant,"23,55",Vino tinto,100 % de Garnacha
La Mundial Barcelona,Clarea Frizzante N.V.,6140,"4,0",99,España / Cataluña,"8,80",Vino espumoso,"Macabeo, Parellada"
Marqués de Riscal,Reserva XR 2015,2015,"4,2",800,España / Rioja,"21,23",Vino tinto,"95 % de Tempranillo, 5 % de Graciano"
Coca i Fitó,Jaspi Blanc 2020,2020,"3,7",89,España / Cataluña / Terra Alta,"8,65",Vino blanco,100 % de Macabeo
Yllera,Vendimia Seleccionada 2018,2018,"4,0",89,España / Castilla y León,"11,90",Vino tinto,100 % de Tempranillo
Freixenet,Cava Cordón Negro Brut N.V.,7970,"3,6",18901,España / Cava,"6,75",Vino espumoso,"40 % de Parellada, 35 % de Macabeo, 25 % de Xarel-lo"
Viña Zorzal,El Inquilino 2018,2018,"3,5",41,España / Rioja,"9,50",Vino tinto,100 % de Garnacha
L'Olivera,Agaliu 2019,2019,"3,9",72,España / Cataluña / Costers del Segre,"9,95",Vino blanco,Macabeo
Mas Oller,Plus 2013,2013,"3,7",107,España / Cataluña,"15,45",Vino tinto,"Grenache, Shiraz/Syrah"
El Grifo,Malvasia Seco 2021,2021,"4,0",44,España / Islas Canarias / Lanzarote,"14,90",Vino blanco,Malvasia
Dominio del Águila,Pícaro del Águila Clarete 2018,2018,"4,1",103,España / Castilla y León / Ribera del Duero,"23,80",Vino rosado,100 % de Bobal
Sumarroca,Terral 2016,2016,"3,5",272,España / Cataluña / Penedès,"12,25",Vino tinto,"Shiraz/Syrah, Merlot, Cabernet Sauvignon, Cabernet Franc"
Verum,Ulterior Parcela No. 17 Graciano 2017,2017,"3,8",30,España / Castilla,"18,98",Vino tinto,100 % de Graciano
Juan Gil,Mondeo Selección Especial 2020,2020,"3,9",54,España / Murcia / Jumilla,"14,95",Vino tinto,"Shiraz/Syrah, Cabernet Sauvignon, Monastrell"
Laudum,Roble Monastrell - Syrah 2019,2019,"3,7",132,España / Valencia,"5,23",Vino tinto,"70 % de Monastrell, 30 % de Shiraz/Syrah"
Figuero,Viñas Viejas 2018,2018,"4,3",237,España / Castilla y León / Ribera del Duero,"27,71",Vino tinto,100 % de Tempranillo
Dominio de Atauta,Llanos del Almendro Ribera del Duero 2013,2013,"4,2",32,España / Castilla y León / Ribera del Duero,"111,90",Vino tinto,100 % de Tinto Fino
Ferrer Bobet,Selecció Especial Vinyes Velles 2012,2012,"4,4",283,España / Cataluña / Priorato,130,Vino tinto,100 % de Cariñena
Viladellops,Xarel-lo 2019,2019,"3,6",34,España / Cataluña / Penedès,"7,05",Vino blanco,100 % de Xarel-lo
Matsu,El Recio 2018,2018,"4,1",4596,España / Castilla y León / Toro,"10,08",Vino tinto,100 % de Tinta de toro
Félix Solís,Viña Albali Gran Reserva Selección Privada 2017,2017,"3,5",28,España / Castilla / Valdepeñas,"9,94",Vino tinto,Tempranillo
Más Que Vinos,Ercavio Tempranillo Roble 2016,2016,"3,8",414,España / Castilla,"7,90",Más Que Vinos,100 % de Tempranillo
Finca Torremilanos,Los Cantos de Torremilanos 2018,2018,"4,0",734,España / Castilla y León / Ribera del Duero,"11,35",Vino tinto,"96 % de Tempranillo, 4 % de Merlot"
Bodega Numanthia,Numanthia 2004,2004,"4,4",421,España / Castilla y León / Toro,"94,90",Vino tinto,100 % de Tempranillo
Azul y Garanza,Naturaleza Salvaje 2021,2021,"3,9",97,España / Navarra,"14,95",Vino blanco,Grenache Blanc
Bodegueros Quinta Esencia,Silbon 2017,2017,"3,7",172,España / Castilla y León / Toro,"9,95",Vino tinto,100 % de Tempranillo
Barbadillo,Castillo de San Diego 2018,2018,"3,3",431,España / Andalucía / Cádiz,"10,37",Vino blanco,100 % de Palomino
Martinet,Camí Pesseroles 2015,2015,"4,5",50,España / Cataluña / Priorato,"75,50",Vino tinto,"Cariñena, Garnacha"
Emilio Moro,Finca Resalso 2018,2018,"3,9",6165,España / Castilla y León / Ribera del Duero,"8,60",Vino tinto,100 % de Tempranillo
Monasterio de Las Vinas,Reserva Grandes Vinos L'Héritage Cariñena 2018,2018,"3,6",57,España / Aragón / Cariñena,"4,30",Reserva Grandes Vinos L'Héritage Cariñena,Cariñena
Finca Nueva,Viura 2018,2018,"3,5",37,España / Rioja,"5,90",Vino blanco,100 % de Viura
Bodegas Olarra,Cerro Añon Reserva Rioja 2017,2017,"4,0",498,España / Rioja,"9,90",Vino tinto,100 % de Tempranillo
Artífice,Paraje Llanito Perera Listan Blanco 2018,2018,"3,9",26,España / Islas Canarias / Ycoden-Daute-Isora,"25,95",Vino blanco,Palomino
Alvar de Dios,Tio Uco 2020,2020,"3,7",132,España / Castilla y León / Toro,"9,55",Vino tinto,"90 % de Tinta de toro, 10 % de Garnacha"
Pazo Señorans,Albariño 2018,2018,"3,9",484,España / Galicia / Rías Baixas,"29,20",Vino blanco,100 % de Albariño
Pago de Larrainzar,Reserva Especial 2011,2011,"4,2",222,España / Navarra,"16,90",Vino tinto,"Merlot, Tempranillo, Cabernet Sauvignon"
Celler Cecilio,L'Espill 2015,2015,"4,1",38,España / Cataluña / Priorato,"24,90",Vino tinto,"Cariñena, Garnacha"
La Rioja Alta,Viña Ardanza Reserva 2000,2000,"4,2",899,España / Rioja,"22,50",Vino tinto,100 % de Tempranillo
Gramona,Mas Escorpí Chardonnay Penedès 2021,2021,"3,9",77,España / Cataluña / Penedès,"11,95",Vino blanco,100 % de Chardonnay
El Escocés Volante,Manda Huevos Tinto 2017,2017,"3,8",62,España / Aragón / Calatayud,"19,90",Vino tinto,"Bobal, Garnacha, Garnacha Blanca, Moristel"
Bodegas Valdemar,Conde de Valdemar Reserva 2015,2015,"4,1",223,España / Rioja,"9,90",Vino tinto,100 % de Tempranillo
Bodegas Javier San Pedro Ortega,Anahí 2020,2020,"4,0",51,España / Rioja,"6,70",Vino blanco,"Sauvignon Blanc, Malvasia, Tempranillo Blanco"
Artuke,Paso Las Mañas Paraje El Chorro 2019,2019,"3,9",49,España / Vino de España,"23,40",Vino de España,100 % de Tempranillo
Hacienda López de Haro,Edicion Limitada 30 Meses 2008,2008,"4,0",181,España / Rioja,"31,90",Vino tinto,"Tempranillo, Grenache"
Primitivo Collantes,Socaire Palomino 2016,2016,"3,7",36,España / Andalucía / Cádiz,"35,90",Vino blanco,Palomino
Bela,Roble 2020,2020,"3,7",101,España / Castilla y León / Ribera del Duero,10,Vino tinto,Tempranillo
Figuero,Ribera Del Duero 4 Meses en Barrica (Roble) 2018,2018,"3,8",193,España / Castilla y León / Ribera del Duero,"9,45",Vino tinto,100 % de Tempranillo
Viña Sastre,Regina Vides Ribera del Duero 2012,2012,"4,4",151,España / Castilla y León / Ribera del Duero,"65,34",Vino tinto,100 % de Tempranillo
Vega Sicilia,Valbuena 5º 2000,2000,"4,6",1023,España / Castilla y León / Ribera del Duero,"278,30",Vino tinto,"Merlot, Tempranillo"
Gonzalez Palacios,Overo 2018,2018,"3,8",57,España / Andalucía,"10,50",Vino tinto,"Shiraz/Syrah, Tempranillo"
Ederra,Rioja Reserva 2016,2016,"3,7",146,España / Rioja,"9,75",Vino tinto,100 % de Tempranillo
Maria Rigol Ordi,Cava Rosat Reserva 2018,2018,"3,6",45,España / Cataluña,13,Vino espumoso,100 % de Pinot Noir
Pepe Mendoza Casa Agrícola,Pureza 2020,2020,"3,9",39,España / Valencia / Alicante,"17,50",Vino blanco,100 % de Moscatel de Alejandría
Francisco Barona,Tinto 2020,2020,"4,3",45,España / Castilla y León / Ribera del Duero,"30,84",Vino tinto,"Bobal, Tinto Fino, Albillo, Grenache, Monastrell, Jaen"
El Sacramento,Tinto 2017,2017,"4,0",31,España / Rioja,"39,95",Vino tinto,Tempranillo
Bodega Sommos,Glárima Blanco 2021,2021,"3,6",43,España / Aragón / Somontano,"4,05",Vino blanco,"80 % de Chardonnay, 20 % de Gewürztraminer"
Scala Dei,Prior 2018,2018,"4,0",199,España / Cataluña / Priorato,"21,44",Vino tinto,"55 % de Garnacha, 15 % de Shiraz/Syrah, 15 % de Cabernet Sauvignon, 15 % de Cariñena"
Espelt,Coralí 2019,2019,"3,6",51,España / Cataluña / Empordà,"7,90",Vino rosado,Garnacha Tinta
Vinyes del Terrer,Nus del Terrer 2016,2016,"4,3",39,España / Cataluña / Tarragona,"25,90",Vino tinto,"85 % de Garnacha, 15 % de Cabernet Sauvignon"
Gran Clos,Solluna 2019,2019,"4,0",40,España / Cataluña / Priorato,"11,95",Vino tinto,"Merlot, Carignan, Garnacha"
Hacienda el Ternero,Selección 2014,2014,"3,9",94,España / Rioja,"12,25",Vino tinto,100 % de Tempranillo
Protos,Selección Finca el Grajo Viejo 2014,2014,"4,3",547,España / Castilla y León / Ribera del Duero,"59,87",Vino tinto,100 % de Tempranillo
Cyan,Crianza 2014,2014,"3,9",52,España / Castilla y León / Toro,"12,96",Vino tinto,100 % de Tempranillo
Viña Cantosán,Brut N.V.,5925,"3,6",149,España / Castilla y León / Rueda,"6,50",Vino espumoso,100 % de Verdejo
Jean Leon,Chardonnay Penedès Vinya Gigi 2016,2016,"3,8",248,España / Cataluña / Penedès,"22,45",Vino blanco,100 % de Chardonnay
Bodega La Carbonera,Las Pisadas 2017,2017,"3,7",121,España / Rioja,12,Vino tinto,100 % de Tempranillo
Uvaguilera Aguilera,Manjar de Silos 2016,2016,"4,2",25,España / Castilla y León / Ribera del Duero,"23,50",Vino tinto,Tempranillo
Balaguer I Cabre,Cèrcol Daurat 2014,2014,"4,2",55,España / Cataluña / Priorato,"35,65",Vino tinto,Grenache
Castillo Perelada,Finca La Garriga 2016,2016,"4,1",204,España / Cataluña / Empordà,"15,50",Vino tinto,100 % de Samsó
Raúl Pérez,Ultreia Mencía 2017,2017,"3,9",93,España / Castilla y León / Bierzo,"17,90",Vino tinto,100 % de Mencia
Viñas del Cénit,Cenit 2010,2010,"4,2",252,España / Castilla y León / Tierra del Vino de Zamora,27,Tierra del Vino de Zamora,100 % de Tempranillo
Can Blau,Blau 2016,2016,"3,8",1358,España / Cataluña / Tarragona / Montsant,"7,90",Vino tinto,"50 % de Mazuelo, 25 % de Shiraz/Syrah, 25 % de Garnacha"
Alión,Ribera del Duero 2015,2015,"4,5",5564,España / Castilla y León / Ribera del Duero,"82,90",Vino tinto,100 % de Tempranillo
Artadi,Artazu Garnacha Blanca 2016,2016,"3,9",48,España / Navarra,"18,25",Vino blanco,Garnacha
El Lagar de Isilla,Reserva 2016,2016,"4,3",97,España / Castilla y León / Ribera del Duero,"19,98",Vino tinto,100 % de Tempranillo
Viñedos Hermanos Hernáiz,Finca La Emperatriz Finca La Emperatriz Reserva 2016,2016,"3,8",129,España / Rioja / Rioja Alta,19,Vino tinto,"Garnacha, Tempranillo, Viura"
Martinez Corta,Finca Iriarte Tempranillo 2018,2018,"3,8",148,España / Rioja,"6,69",Vino tinto,Tempranillo
Bodegas Langa,Cava Reyes de Aragón Reserva Brut Nature N.V.,4046,"3,6",61,España / Aragón / Calatayud,"13,95",Vino espumoso,"Chardonnay, Macabeo"
Freixenet,Cava Carta Nevada Brut N.V.,1384,"3,6",14864,España / Cava,"5,95",Vino espumoso,100 % de Macabeo
Clos Mogador,Manyetes 2016,2016,"4,3",128,España / Cataluña / Priorato,"59,90",Vino tinto,100 % de Cariñena
Arrayán,Premium 2011,2011,"4,2",61,España / Castilla / Méntrida,"19,90",Vino tinto,"Shiraz/Syrah, Cabernet Sauvignon, Merlot, Petit Verdot"
Consejo de la Alta,Cata de Consejero Tempranillo 2014,2014,"4,0",71,España / Rioja,"35,95",Vino tinto,Tempranillo
Bodegas Faustino,V Reserva 1988,1988,"4,2",27,España / Rioja,89,Vino tinto,Tempranillo
Marqués de Griñon,Caliza 2018,2018,"4,0",41,España / Castilla / Dominio de Valdepusa,"9,79",Vino tinto,Petit Verdot
Telmo Rodriguez,Ladeiras Do XIL Falcoeira A Capilla Single Vineyard 2017,2017,"4,2",53,España / Galicia / Valdeorras,"51,95",Vino tinto,Mencia
Castillo Perelada,Emporda Cigonyes Rosé 2020,2020,"3,7",25,España / Cataluña / Empordà,"7,50",Vino rosado,"Shiraz/Syrah, Garnacha"
AT Roca,Sileo 2018,2018,"3,7",298,España / Cataluña / Tarragona / Montsant,"9,10",Vino tinto,"Cariñena, Garnacha"
Pago de Los Capellanes,Parcela El Nogal Tinto 2015,2015,"4,5",1439,España / Castilla y León / Ribera del Duero,"40,91",Vino tinto,100 % de Tempranillo
Quinta da Muradella,Candea Tinto 2019,2019,"3,6",25,España / Galicia / Monterrei,"11,20",Vino tinto,100 % de Mencia
Mas Rodó,Cabernet Sauvignon 2014,2014,"3,7",32,España / Cataluña / Penedès,"17,95",Vino tinto,100 % de Cabernet Sauvignon
Izadi,Rioja Selección 2014,2014,"3,9",706,España / Rioja,"26,50",Vino tinto,"80 % de Tempranillo, 20 % de Graciano"
Ramón Bilbao,Lalomba Finca LaLinde 2021,2021,"4,2",40,España / Rioja,"20,90",Vino rosado,Tempranillo
Matarromera,Ribera del Duero Reserva 2017,2017,"4,4",3872,España / Castilla y León / Ribera del Duero,"32,90",Vino tinto,100 % de Tempranillo
Barbadillo,Castillo de San Diego 2019,2019,"3,3",607,España / Andalucía / Cádiz,"3,90",Vino blanco,Palomino
Alcorta,Audaz Crianza 2017,2017,"3,4",420,España / Rioja,"6,30",Vino tinto,100 % de Tempranillo
Gonzalez-Byass,Leonor Palo Cortado Seco N.V.,3566,"4,1",1551,España / Andalucía / Jerez-Xérès-Sherry / Jerez Palo Cortado,"22,95",Vino fortificado,100 % de Palomino
Viñedos y Bodegas Muñoz,Legado Muñoz Macabeo - Verdejo 2021,2021,"4,1",44,España / Castilla / La Mancha,"3,50",Vino blanco,"Macabeo, Verdejo"
Mas la Mola,Vi d'Altura Negre Priorat 2018,2018,"4,2",106,España / Cataluña / Priorato,"21,95",Vino tinto,100 % de Garnacha
Castillo de Aza,Tinto Fino 2018,2018,"3,6",80,España / Castilla y León / Ribera del Duero,6,Vino tinto,Tempranillo
Diez Mérito,Fino Imperial Amontillado 30 Años N.V.,7874,"4,5",89,España / Andalucía / Jerez-Xérès-Sherry / Jerez Amontillado,"99,90",Vino fortificado,Palomino
Alfredo Arribas,Gotes del Priorat 2019,2019,"3,9",179,España / Cataluña / Priorato,"13,19",Vino tinto,100 % de Cariñena
Casa de la Ermita,Petit Verdot 2014,2014,"3,3",29,España / Murcia / Jumilla,"19,40",Vino tinto,100 % de Petit Verdot
Mas Macià,Cava Brut Nature Reserva N.V.,2280,"3,6",169,España / Cava,,Vino espumoso,"40 % de Macabeo, 35 % de Xarel-lo, 25 % de Parellada"
Llopart,Clos Dels Fòssils 2020,2020,"3,8",42,España / Cataluña / Penedès,"10,19",Vino blanco,100 % de Chardonnay
Viña Real,Rioja Gran Reserva 2014,2014,"4,1",524,España / Rioja,"29,35",Vino tinto,100 % de Tempranillo
Can Ràfols dels Caus,Terraprima Negre 2017,2017,"3,6",53,España / Cataluña / Penedès,"9,70",Vino tinto,100 % de Shiraz/Syrah
Bodega Contador (Benjamín Romeo),A Mi Manera Rioja 2018,2018,"3,6",110,España / Rioja,"16,24",Vino tinto,100 % de Tempranillo
Artuke,Pies Negros Rioja 2018,2018,"3,8",774,España / Rioja,25,Vino tinto,"90 % de Tempranillo, 10 % de Graciano"
Fernando de Castilla,Classic Old Medium Amontillado Sherry N.V.,9436,"3,4",374,España / Andalucía / Jerez-Xérès-Sherry / Jerez Amontillado,,Vino fortificado,100 % de Palomino
Comando G,El Hombre Bala 2016,2016,"3,6",764,España / Madrid,"17,62",Vino tinto,100 % de Garnacha
Bodega Pirineos,Señorío de Lazán Crianza 2013,2013,"3,2",348,España / Aragón / Somontano,"6,74",Vino tinto,"Merlot, Tempranillo, Cabernet Sauvignon"
Luis Cañas,Crianza 2017,2017,"3,9",2388,España / Rioja,"10,15",Vino tinto,100 % de Tempranillo
Bermejo,Malvasía Seco 2020,2020,"4,2",49,España / Islas Canarias / Lanzarote,"16,95",Vino blanco,100 % de Malvasia
Winery Arts,Squared Three (Tres al Cuadrado) 2016,2016,"3,6",73,España / Navarra / Ribera del Queiles,"7,90",Vino tinto,100 % de Merlot
Javier Sanz Viticultor,V Dulce de Invierno 2019,2019,"4,4",35,España / Castilla y León,"18,90",Vino de postre,"80 % de Verdejo, 20 % de Moscatel"
Bo,Bobal Único 2020,2020,"3,6",27,España / Valencia / Utiel-Requena,"5,90",Vino tinto,Bobal
Dominio de Atauta,Parada de Atauta 2017,2017,"4,1",737,España / Castilla y León / Ribera del Duero,"19,69",Vino tinto,100 % de Tinto Fino
Bodegas Luis Perez,Raya La Barajuela 2016,2016,"4,0",42,España / Andalucía,"30,90",Vino fortificado,Palomino
Condesa de Leganza,Tempranillo 2013,2013,"3,1",199,España / Castilla,"8,55",Vino tinto,Tempranillo
Celler Masroig,Les Sorts Jove 2020,2020,"3,2",81,España / Cataluña / Tarragona / Montsant,"6,25",Vino tinto,"Carignan, Shiraz/Syrah, Grenache"
Avior,Reserva 2015,2015,"3,8",301,España / Rioja / Rioja Alta,"14,95",Vino tinto,Tempranillo
Gran Clos,Blanc 2018,2018,"4,2",88,España / Cataluña / Priorato,"20,50",Vino blanco,"Grenache Blanc, Macabeo"
Bodega Marañones,Picarana Albillo 2018,2018,"3,7",170,España / Madrid,"14,40",Vino blanco,100 % de Albillo
Beronia,Laslias de Beronia Verdejo Sobre Lias 2019,2019,"4,0",31,España / Castilla y León / Rueda,"16,95",Vino blanco,Verdejo
Condes de Albarei,As Voltas Albarino Rias Baixas 2021,2021,"3,4",109,España / Galicia,8,Vino blanco,Albariño
Pintia,Toro 2003,2003,"4,3",430,España / Castilla y León / Toro,"135,52",Vino tinto,100 % de Tinta de toro
Balbas,Ribera del Duero Crianza 2018,2018,"4,0",41,España / Castilla y León / Ribera del Duero,"21,25",Vino tinto,"Cabernet Sauvignon, Tempranillo"
Viña Eizaga,Crianza 2018,2018,"3,9",52,España / Rioja,"8,95",Vino tinto,Tempranillo
Calandria,Cientruenos 2018,2018,"4,1",55,España / Navarra,"13,50",Vino tinto,100 % de Garnacha
Ossian,Verdling Dulce 2016,2016,"3,6",101,España / Castilla y León,"16,50",Vino blanco,100 % de Verdejo
Jané Ventura,Reserva Especial Vintage Brut Nature 2007,2007,"3,1",25,España / Cava,"14,85",Vino espumoso,Xarel-lo
Finca Río Negro,5º Año 2015,2015,"4,2",61,España / Castilla / La Mancha,"27,95",Vino tinto,"70 % de Tempranillo, 30 % de Cabernet Sauvignon"
Celler de L'Era,Mim 2012,2012,"4,2",28,España / Cataluña / Tarragona / Montsant,"25,40",Vino tinto,"60 % de Cariñena, 30 % de Garnacha, 10 % de Shiraz/Syrah"
Finca Albret,El Alba Chardonnay 2019,2019,"4,0",47,España / Navarra,"11,10",Vino blanco,Chardonnay
Muga,Prado Enea Gran Reserva 2014,2014,"4,5",1336,España / Rioja,"58,68",Vino tinto,100 % de Tempranillo
Pradorey,Finca Real Sitio de Ventosilla Gran Reserva 2015,2015,"4,0",43,España / Castilla y León / Ribera del Duero,"43,90",Vino tinto,"Merlot, Tempranillo, Cabernet Sauvignon"
Remelluri,Rioja Reserva 2011,2011,"4,1",3998,España / Rioja,"21,75",Vino tinto,100 % de Graciano
Baigorri,Finca La Quintanilla 2016,2016,"4,0",55,España / Rioja,"28,80",Vino tinto,Tempranillo
Oriol Rossell,Rocaplana Syrah 2018,2018,"3,5",117,España / Cataluña / Penedès,"12,20",Vino tinto,Shiraz/Syrah
Avgvstvs,Rosat 2019,2019,"4,1",53,España / Cataluña / Penedès,"9,15",Vino rosado,"50 % de Cabernet Sauvignon, 50 % de Merlot"
Pazos del Rey,Pazo de Monterrey Godello 2012,2012,"3,5",58,España / Galicia / Monterrei,"7,90",Vino blanco,100 % de Godello
Raimat,Abadia Cabernet Sauvignon - Tempranillo 2019,2019,"3,5",414,España / Cataluña / Costers del Segre,"5,95",Vino tinto,"55 % de Cabernet Sauvignon, 45 % de Tempranillo"
Finca Garabelos,La Trucha Albariño 2021,2021,"4,1",134,España / Galicia / Rías Baixas,"10,99",Vino blanco,Albariño
Luis Cañas,Vinas Viejas Blanco 2020,2020,"4,0",167,España / Rioja / Rioja Alavesa,"12,50",Vino blanco,"Malvasia, Viura"
Telmo Rodriguez,As Caborcas Single Vineyard 2018,2018,"4,2",26,España / Galicia / Valdeorras,"47,30",Vino tinto,Mencia
Singulares,Afortunado Verdejo Rueda 2021,2021,"3,9",113,España / Castilla y León / Rueda,"6,50",Vino blanco,100 % de Verdejo
Matsu,El Recio 2020,2020,"4,0",557,España / Castilla y León / Toro,"12,70",Vino tinto,100 % de Tinta de toro
Marqués de Murrieta,Reserva Rioja (Finca Ygay) 1982,1982,"4,0",42,España / Rioja,"113,88",Vino tinto,"Tempranillo, Mazuelo, Graciano, Garnacha"
Valdespino,Tres Cortados Medium Dry N.V.,7251,"3,8",28,España / Andalucía / Jerez-Xérès-Sherry,"6,68",Vino fortificado,"Palomino, Pedro Ximenez"
